pedigree_no,name,Chinese_Name,birth_place,birth_day,Sex, Sire,Dam
253,XIN_XING,,BAOXING,wild ~1982,F,WILD,WILD
278,QING_QING,,CHENGDU ,1984/9/9,F,174,152
314,BING_BING,,CHENGDU ,1986/8/6,F,201,243
327,AN_AN,,BAOXING,wild ~ 1986,M,WILD,WILD
332,SHUAN_SHUAN,,MEXICOCTY,1987/6/15,F,167,165
342,XIAO_PING_PIN,,LUSHAN CO,wild ~  Sep 1987,M,WILD,WILD
360,XIN_XIN,,MEXICOCTY,1990/7/1,F,141,234
362,YA_YA,,CHENPANDA,1990/8/24,F,202,278
371,BAI_YUN,,WOLONG BC ,1991/9/7,F,308,358
374,LEI_LEI,,LEIBUO ,wild ~ 1989,F,WILD,WILD
382,YING_YING,,WOLONG,wild ~ Oct 1991,F,WILD,WILD
387,LI_LI,,CHENPANDA ,1992/9/3,F,202,278
390,YONG_MING,,BEIJING ,1992/9/14,M,323,245
394,DA_DI,,WOLONG BC ,1992/9/22,M,308,358
399,XI_MENG,,WOLONG BC ,1993/9/19,M,308,358
401,ER_YA_TOU,,CHENPANDA,1993/9/19,F,342,278
403,JI_NI,,BEIJING ,1993/11/4,F,323,245
404,YUE_YUE,,WOLONG BC ,1993/11/20,F,329,230
407,SHU_LAN,,CHENPANDA ,1994/8/31,F,298,312
413,DI_DI,,WOLONG BC ,1994/10/5,M,308,230
415,GAO_GAO,,BAOXING,wild ~1992 +/-2yr,M,WILD,WILD
416,QIAO_YUAN,,BAOXING,wild ~ 1993,F,WILD,WILD
424,LING_LING,,CHONGQING ,1995/8/25,M,231,253
425,JIAO_ZI,,CHENPANDA,1995/8/21,F,298,314
432,FEI_FEI,,WOLONG BC ,1995/8/16,F,308,397
434,SHUANG_SHUANG,,WOLONG BC ,1995/9/16,F,306,358
444,XUE_XUE,,BAOXING,wild ~ 1988,F,WILD,WILD
452,LUN_LUN,,CHENPANDA,1997/8/25,F,298,314
453,DA_SHUANG,,CHENPANDA,1997/9/1,F,287,278
454,XIAO_SHUANG,,CHENPANDA ,1997/9/1,M,287,278
458,TIAN_TIAN,,WOLONG BC,1997/8/27,M,308,397
461,YANG_YANG,,CHENPANDA,1997/9/9,M,306,362
466,LE_LE,,CHONGQING,1998/7/18,M,231,253
473,MEI_XIANG,,WOLONG BC,1998/7/22,F,298,444
474,YOU_YOU,,WOLONG BC ,1998/8/3,F,298,382
476,XI_XI,,WOLONG BC ,1998/8/13,F,308,397
477,GONG_ZHU,,WOLONG BC ,1998/9/11,F,394,446
480,SHU_QING,,CHONGQING,1999/8/3,F,231,253
487,HUA_MEI,,SANDIEGOZ ,1999/8/21,F,381,371
488,YUAN_YUAN,,BEIJING,2003/9/16,M,323,245
490,QI_ZHEN,,CHENPANDA,1999/9/4,F,287,408
491,QI_YUAN,,CHENPANDA,1999/9/4,F,287,408
494,YA_LAO_DA,,CHENPANDA,1999/9/9,F,287,362
495,YE_YE,,WOLONG BC ,1999/9/25,F,MULT,446
496,GU_GU,,WOLONG BC ,1999/9/25,M,308,446
502,WU_GANG,,BAOXING,wild ~ 1999,M,WILD,WILD
503,LU_LU,,LUSHAN CO,wild ~ 1999,M,WILD,WILD
505,ZHANG_KA,,BAOXING,wild ~ 2000,F,WILD,WILD
507,YA_YA,,BEIJING,2000/8/3,F,369,320
509,ZHU_ZHU,,WOLONG BC,2000/8/6,F,329,418
511,XI_MEI,,WOLONG BC ,2000/8/8,F,394,414
512,LE_SHENG,,WOLONG BC ,2000/8/10,F,305,432
513,LIANG_LIANG,,WOLONG BC ,2000/8/10,M,394,382
514,YANG_YANG,,WOLONG BC,2000/8/10,F,394,382
515,LIANG_LIANG,,CHENPANDA,2000/8/18,M,287,278
516,LONG_XIN,,WOLONG BC ,2000/8/18,F,308,374
518,LONG_SHENG,,WOLONG BC,2000/8/21,M,394,404
519,BING_XING,,CHENPANDA,2000/9/1,M,287,314
520,BING_DIAN,,CHENPANDA ,2000/9/1,M,287,314
521,LIANG_BIN,,NISHIMURO ,2000/9/6,F,287,408
522,CHENG_GONG,,CHENPANDA,2000/9/11,F,386,297
523,CHENG_JI,,CHENPANDA,2000/9/12,F,386,297
524,LONG_TENG,,WOLONG BC ,2000/9/16,M,394,397
529,YA_XIANG,,CHENPANDA ,2001/8/20,M,287,362
530,YA_GUANG,,CHENPANDA,2001/8/20,M,287,362
532,FU_FU,,WOLONG BC ,2001/8/25,M,MULT,414
536,XIAO_JIAO,,CHENPANDA ,2001/9/22,M,287,425
537,QING_HE,,CHENPANDA,2001/9/24,F,287,278
538,LIN_YANG,,WOLONG BC ,2001/9/28,M,MULT,446
539,LIN_HUI,,WOLONG BC,2001/9/28,F,MULT,446
540,XIONG_BING,,NISHIMURO ,2001/12/17,M,390,408
542,DAI_LI,,BAOXING ,wild ~ 1999,M,WILD,WILD
544,HAI_ZI,,MIANYANG,wild ~ 1994,F,WILD,WILD
547,MEI_QING,,WOLONG BC ,2002/7/12,F,394,382
548,LAN_XIANG,,WOLONG BC ,2002/7/12,F,MULT,382
549,ZHU_YUN,,WOLONG BC,2002/7/17,F,394,374
554,YA_SHUANG,,CHENPANDA ,2002/8/28,F,287,362
555,YA_XING,,CHENPANDA ,2002/8/28,F,287,362
557,JU_XIAO,,WOLONG BC ,2002/9/28,F,MULT,446
561,YUAN_YUAN,,CHENPANDA ,2003/8/1,F,386,314
562,LOU_SHENG,,LOUGUANTA ,2003/8/2,F,377,444
563,MEI_SHENG,,SANDIEGOZ ,2003/8/19,M,415,371
564,YANG_GUANG,,WOLONG BC,2003/8/14,M,308,414
565,XIN_YUE,,WOLONG BC,2003/8/14,F,308,414
566,YING_HUA,,WOLONG BC ,2003/8/17,F,424,382
567,YING_MEI,,WOLONG BC ,2003/8/17,F,424,382
568,NA_NA,,WOLONG BC ,2003/8/20,F,399,374
569,TIAN_TIAN,,BEIJING,2003/8/24,F,369,421
570,FU_WA,,CHENPANDA ,2003/9/6,F,287,362
571,GE_GE,,WOLONG BC ,2003/9/6,F,424,477
572,JUN_ZHU,,WOLONG BC ,2003/9/6,F,357,477
573,LONG_BING,,NISHIMURO ,2003/9/8,M,390,408
574,QIU_BING,,NISHIMURO ,2003/9/8,M,390,408
575,QING_ZAI,,CHENPANDA ,2003/9/9,M,287,278
576,HUA_ZUI_BA,,CHENPANDA,2003/9/16,F,377,297
579,YANG_YANG,,BAISHUIJI,wild ~ Oct 2001,M,WILD,WILD
581,CAO_CAO,,CAOPO,wild ~ 2002,F,WILD,WILD
582,RONG_RONG,,WOLONG BC,2004/7/13,M,327,476
583,YA_AO,,WOLONG BC ,2004/8/13,M,424,477
584,YONG_YONG,,CHENPANDA ,2004/8/26,M,377,480
586,TONG_TONG,,WOLONG BC ,2004/8/30,M,399,414
587,YUAN_YUAN,,WOLONG BC ,2004/8/30,F,455,374
588,TUAN_TUAN,,WOLONG BC ,2004/9/1,M,424,487
589,MEI_LING,,WOLONG BC ,2004/9/1,M,424,487
592,LAN_ZI,,CHENPANDA ,2004/10/21,M,467,407
593,SI_YUAN,,CHENPANDA ,2004/10/22,F,467,491
595,TAI_SHAN,,NZP-WASH ,2005/7/9,M,458,473
596,SU_LIN,,SANDIEGOZ ,2005/8/2,F,415,371
598,JING_JING,,CHENPANDA ,2005/8/30,F,386,362
599,XIAN_ZI,,WOLONG BC ,2005/7/3,M,455,382
600,XIAN_NU,,WOLONG BC ,2005/7/3,F,455,382
601,YAO_YAO,,WOLONG BC,2005/7/8,F,502,439
605,JING_JING,,WOLONG BC ,2005/8/6,M,455,432
606,LE_LE,,WOLONG BC ,2005/8/8,M,424,544
607,XI_WANG,,WOLONG BC ,2005/8/11,M,369,516
609,HUI_HUI,,WOLONG BC ,2005/8/11,M,357,511
610,YING_YING,,WOLONG BC ,2005/8/16,F,503,476
611,LI_LI,,WOLONG BC ,2005/8/16,F,424,477
612,BI_LI,,WOLONG BC ,2005/8/16,M,424,477
613,YOU_YOU,,WOLONG BC ,2005/8/16,M,424,374
614,XING_BING,,NISHIMURO ,2005/8/23,M,390,408
618,TING_TING,,WOLONG BC ,2005/8/29,F,424,487
619,WEI_WEI,,WOLONG BC ,2005/8/29,M,424,487
620,WANG_WANG,,WOLONG BC ,2005/8/31,M,455,504
623,BAI_YANG,,BAOXING ,wild ~ 2004,M,WILD,WILD
624,QIAO_QIAO,,CHANGQING,wild ~ 2004,M,WILD,WILD
625,SI_XUE,,WOLONG BC ,2006/7/22,F,467,418
627,LE_SHAN,,CHENPANDA ,2006/8/6,M,455,491
628,LE_SHUI,,CHENPANDA,2006/8/6,M,455,491
629,ZHEN_DA,,CHENPANDA ,2006/8/7,M,455,490
630,WU_YI,,CHENPANDA ,2006/8/7,M,455,490
631,MEI_XI,,WOLONG BC, 10 Aug 2006,F,502,476
632,MEI_XIN,,WOLONG BC ,2006/8/10,F,503,476
633,TAO_TAO,,WOLONG BC ,2006/8/12,M,424,511
634,SI_JIA,,WOLONG BC,2006/8/12,F,424,511
635,XIAO_YA_TOU,,CHENPANDA ,2006/8/13,F,455,401
636,HUAN_HUAN,,WOLONG BC,2006/8/14,M,503,477
637,YA_ZI,,CHENPANDA ,2006/8/19,F,386,362
638,FU_NI,,WOLONG BC ,2006/8/23,F,503,516
639,FU_WA,,WOLONG BC,2006/8/23,M,503,516
641,FENG_YI,,WOLONG BC,2006/8/23,F,502,432
643,CUI_CUI,,WOLONG BC ,2006/8/25,F,369,495
644,SHUANG_ER,,CHENPANDA ,2006/8/30,M,455,453
645,DA_JIAO,,CHENPANDA ,2006/8/30,F,455,425
646,JIAO_XIAO,,CHENPANDA ,2006/8/31,M,455,425
648,YOU_YOU,,CHONGQING ,2006/9/5,F,424,493
649,MEI_LAN,,ATLANTA ,2006/9/6,M,461,452
650,QIAN_QIAN,,WOLONG BC ,2006/9/11,F,369,474
651,DUO_DUO,,WOLONG BC ,2006/9/11,F,424,474
652,MENG_MENG,,WOLONG BC ,2006/9/13,F,424,382
654,XI_DOU,,WOLONG BC ,2006/9/24,F,479,504
660,NIU_NIU,,TAIBAI,wild ~ 1994,F,WILD,WILD
661,YI_BAO,,BAOXING ,wild ~ 2006,M,WILD,WILD
662,MING_BING,,NISHIMURO ,2006/12/23,M,390,408
663,AI_BING,,NISHIMURO ,2006/12/23,F,390,408
664,QING_QING,,WOLONG BC ,2007/2/23,F,479,403
665,XIANG_BING,,CHENPANDA ,2007/6/30,F,455,314
666,SHU_LING,,CHENPANDA ,2007/7/5,M,455,480
667,XIN_XIN,,CHENPANDA,2007/7/5,F,455,480
668,HUA_LONG,,WOLONG BC ,2007/7/16,M,503,487
669,HUA_AO,,WOLONG BC ,2007/7/16,M,503,487
670,JI_YOU,,CHENPANDA ,2007/7/23,M,455,523
671,JI_LI,,CHENPANDA ,2007/7/23,F,455,523
672,JIN_XIN,,YAAN BC ,2007/8/6,F,488,437
674,XIANG_GE,,WOLONG BC ,2007/8/7,M,502,544
676,ER_SHUN,,CHONGQING,2007/8/10,F,424,493
678,KE_LIN,,CHENPANDA ,2007/8/13,F,386,425
680,XING_RONG,,CHENPANDA ,2007/8/13,F,386,401
681,XING_YA,,CHENPANDA ,2007/8/13,F,519,401
682,ZHU_LING,,WOLONG BC,2007/8/18,F,424,477
685,FU_LONG,,VIENNA,2007/8/23,M,526,514
688,QING_FENG,,WOLONG BC,2007/8/24,M,479,516
689,WU_JUN,,WOLONG BC ,2007/9/14,M,502,495
690,WU_JIE,,WOLONG BC ,2007/9/14,M,502,495
691,WEN_YU,,WOLONG BC ,2007/9/24,F,488,504
694,ZHEN_ZHEN,,SANDIEGOZ ,2007/8/3,F,415,371
696,ZI_XIA,,ANXIAN,wild ~1995 +/-3yr,F,WILD,WILD
698,SHUI_XIU,,BEICHUAN,wild ~2003 +/-2yr,F,WILD,WILD
701,YING_PING,,QINGCHUAN,wild ~1995 +/-3yr,F,WILD,WILD
702,WANG_JIA,,BAOXING ,wild ~ 2007,F,WILD,WILD
703,ABAO,,TAIBAI ,wild ~2007,M,WILD,WILD
704,PING_PING,,YAAN BC ,2008/7/6,F,479,439
706,YUN_YUN,,YAAN BC,2008/7/13,F,424,382
707,YOU_YOU,,YAAN BC,2008/7/21,M,424,516
707,YOU_YOU,,YAAN BC,2008/7/21,M,424,516
708,HAN_YUAN,,YAAN BC ,2008/7/21,F,424,516
709,QI_FU,,CHENPANDA ,2008/7/26,F,377,491
711,GONG_ZI,,CHENPANDA ,2008/7/26,M,342,522
713,QIN_CHUAN,,CHENPANDA ,2008/7/27,M,377,509
714,NING_NING,,YAAN BC,2008/7/27,M,503,418
715,LE_LE,,LOUGUANTA ,2008/7/29,M,377,494
717,SHU_XIANG,,CHENPANDA ,2008/8/4,M,455,480
719,AN_AN,,YAAN BC ,2008/8/6,M,424,581
721,AO_YUN,,YAAN BC,2008/8/8,M,503,432
722,BEI_BEI,,CHENPANDA,2008/8/10,F,455,490
723,HUAN_HUAN,,CHENPANDA,2008/8/10,F,455,490
724,YING_YING,,CHENPANDA ,2008/8/23,M,342,523
725,NI_NI,,CHENPANDA ,2008/8/23,F,342,523
726,KAI_KAI,,CHENPANDA,2008/8/24,M,377,362
731,XI_LAN,,ATLANTA ,2008/8/30,M,461,452
732,DA_MAO,,CHENPANDA,2008/9/1,M,540,570
734,HU_BAO,,YAAN BC ,2008/9/3,F,488,549
735,MIN_MIN,,YAAN BC ,2008/9/3,F,488,549
736,YUAN_ZI,,CHENPANDA,2008/9/6,M,377,561
737,MEI_BING,,NISHIMURO ,2008/9/13,F,390,521
738,YONG_BING,,NISHIMURO ,2008/9/13,M,390,521
739,A_LING,,YAAN BC ,2008/9/14,F,502,495
740,LIN_BING,,CHIANGMAI ,2009/5/27,F,510,539
741,HAO_HAO,,YAAN BC,2009/7/7,F,424,487
742,YUN_YUN,,YAAN BC,2009/7/7,M,502,477
743,JIN_KE,,YAAN BC ,2009/7/15,M,377,418
744,YIN_KE,,YAAN BC,2009/7/16,M,503,511
745,XING_HUI,,YAAN BC,2009/7/22,M,503,568
746,XING_RUI,,YAAN BC ,2009/7/22,M,503,568
747,XIANG_LU,,YAAN BC ,2009/7/23,M,503,474
748,XIANG_LIN,,YAAN BC ,2009/7/24,M,488,544
749,YUN_ZI,,SANDIEGOZ,2009/8/5,M,415,371
750,BO_SI,,YAAN BC ,2009/8/7,F,399,569
751,SHEN_WEI,,YAAN BC ,2009/8/7,M,399,569
752,ZI_YAN,,YAAN BC ,2009/8/14,M,488,656
755,SHEN_BIN,,YAAN BC ,2009/8/20,F,502,512
756,SHU_QIN,,YAAN BC ,2009/8/26,F,503,382
757,YA_YA,,LOUGUANTA ,2009/9/4,F,697,509
758,LU_LIN,,YAAN BC ,2009/9/12,M,503,495
759,YAO_MAN,,YAAN BC ,2009/9/27,F,503,439
760,YAO_XIN,,YAAN BC,2009/9/27,F,503,439
761,WEN_LI,,CHENPANDA ,2009/7/19,F,377,387
762,YA_LI,,CHENPANDA ,2009/7/19,F,377,387
763,ZHI_ZHI,,CHENPANDA ,2009/8/23,F,377,494
764,QI_QI,,CHENPANDA,2009/9/28,F,455,453
764,QI_QI,,CHENPANDA,2009/9/28,F,455,453
765,BEI_CHUAN,,BEICHUAN,wild ~2006 +/-2yr,F,WILD,WILD
766,DA_BAITU,,BEIJING,2010/7/2,F,394,566
768,JIN_HU,,YAAN BC ,2010/7/8,M,424,549
769,JIAO_QING,,CHENPANDA,2010/7/15,M,386,425
770,ER_XI,,CHENPANDA ,2010/7/26,M,574,401
771,CAI_YUN,,YAAN BC ,2010/7/27,F,502,557
772,ZHAO_YANG,,YAAN BC ,2010/7/27,M,502,557
774,FEI_YUN,,YAAN BC ,2010/7/30,F,503,432
775,AO_AO,,YAAN BC ,2010/8/1,M,502,698
778,CAI_TAO,,YAAN BC ,2010/8/4,M,488,568
779,ZHEN_QIAO,,CHENPANDA ,2010/8/6,F,455,490
780,ZHEN_HAO,,CHENPANDA ,2010/8/6,M,455,490
781,MIAO_YIN,,YAAN BC ,2010/8/9,F,503,571
782,HAI_BING,,NISHIMURO ,2010/8/11,M,390,521
783,YANG_BING,,NISHIMURO ,2010/8/11,F,390,521
784,XIAO_BAITU,,YAAN BC ,2010/8/13,F,502,403
786,QING_SHAN,,YAAN BC ,2010/8/14,M,488,547
787,YUAN_ZHOU,,CHENPANDA ,2010/8/15,M,342,561
788,YUAN_LIN,,CHENPANDA ,2010/8/15,M,342,561
789,FU_HU,,VIENNA ,2010/8/23,M,526,514
791,YANG_HUA,,YAAN BC ,2010/8/25,F,579,572
792,DE_DE,,CHENPANDA ,2010/8/15,M,519,576
793,A_BAO,,MADRID Z ,2010/9/7,M,519,576
794,HU_CHUN,,YAAN BC ,2010/9/8,F,502,495
796,YA_YUN,,CHENPANDA ,2010/9/10,F,386,362
800,ZHI_CHUN,,YAAN BC ,2010/10/19,F,503,474
801,A_BAO(PO),,ATLANTA ,2010/11/3,F,461,452
802,QI_ZAI,,FUPING ,wild ~ 2009,M,WILD,WILD
803,ER_LANG,,TAIBAI,wild ~ 2009,M,WILD,WILD
810,YUN_DUO,,WOLONG BC ,2011/7/8,F,502,476
811,AI_LI,,CHENPANDA ,2011/7/24,F,574,387
813,JUN_JUN,,CHENPANDA ,2011/8/1,F,574,570
814,ZHEN_ZHEN,,CHENPANDA ,2011/8/4,F,455,490
815,QIAO_QIAO,,CHENPANDA,2011/8/4,M,455,490
818,SHUANG_XIN,,CHENPANDA ,2011/8/9,F,540,453
819,SHUANG_XI,,CHENPANDA ,2011/8/9,F,540,453
820,XING_MEI,,CHENPANDA,2011/8/10,F,584,555
821,HE_QI,,CHENPANDA,2011/8/12,F,455,522
821,HE_QI,,CHENPANDA,2011/8/12,F,455,522
822,HE_MEI,,CHENPANDA,2011/8/12,F,455,522
822,HE_MEI,,CHENPANDA,2011/8/12,F,455,522
823,ER_QIAO,,CHENPANDA ,2011/8/13,F,574,401
824,CHENG_DA,,CHENPANDA ,2011/8/15,F,574,523
825,LIU_YI,,CHENPANDA,2011/8/15,M,584,523
825,LIU_YI,,CHENPANDA,2011/8/15,M,584,523
827,SU_SHAN,,YAAN BC ,2011/8/20,F,623,505
829,MANG_ZAI,,CHONGQING ,2011/9/4,F,424,493
830,YUN_TAO,,YAAN BC ,2011/10/31,M,623,432
831,LONG_LONG,,SZECHWAN ,2012/4/17,M,WILD,WILD
832,YOU_BING,,NISHIMURO,2012/8/10,F,390,521
834,ZHENG_ZHENG,,YAAN BC ,2012/7/11,F,503,511
835,HUI_HUI,,YAAN BC,2012/7/11,F,503,511
837,YI_RAN,,YAAN BC ,2012/7/24,F,661,698
838,YI_CHANG,,YAAN BC ,2012/7/25,F,661,698
839,AO_LI_AO,,CHENPANDA ,2012/7/28,M,584,387
841,YUAN_XIN,,YAAN BC ,2012/7/28,M,488,516
842,XIAO_LIWU,,SANDIEGOZ ,2012/7/29,M,415,371
846,JIA_JIA,,YAAN BC ,2012/8/5,F,503,487
848,XIAO_QIAO,,CHENPANDA ,2012/8/12,F,540,635
851,SI_YI,,CHENPANDA ,2012/8/19,M,584,593
852,HAN_HAN,,YAAN BC ,2012/8/21,M,503,495
853,YUAN_RUN,,CHENPANDA ,2012/8/25,F,584,561
855,MIAO_MIAO,,CHENPANDA ,2012/9/4,F,584,425
857,CHENG_SHUANG,,CHENPANDA ,2012/9/12,M,532,523
858,CHENG_DUI,,CHENPANDA ,2012/9/12,M,532,523
860,QIAO_QIAO,,WOLONG,wild ~2009 +/-1yr,F,WILD,WILD
862,XIN_XIN,,YAAN BC ,2013/6/22,F,623,544
864,YUAN_ZAI,,TAIPEI ,2013/7/6,F,588,587
865,HUA_HU,,WOLONG BC ,2013/7/6,M,623,581
867,HUA_BAO,,YAAN BC,2013/7/10,M,488,476
868,MENG_MENG,,CHENPANDA,2013/7/10,F,584,401
869,HUA_NI,,YAAN BC ,2013/7/13,F,503,692
870,MEI_LUN,,ATLANTA ,2013/7/15,F,461,452
871,MEI_HUAN,,ATLANTA ,2013/7/15,F,461,452
872,MING_MING,,CHENPANDA ,2013/7/17,F,584,491
874,HUA_RONG,,WOLONG BC ,2013/7/18,M,502,487
875,HE_XING,,CHENPANDA ,2013/7/23,M,584,522
877,XI_LE,,YAAN BC ,2013/7/24,F,MULT,511
878,LONG_LONG,,PANYU ,2013/7/31,F,455,547
879,XING_YA,,YAAN BC,2013/8/5,M,488,712
880,XING_AN,,YAAN BC,2013/8/5,F,488,712
881,QIAN_QIAN,,CHENPANDA ,2013/8/6,F,584,645
882,NAN_NAN,,CHENPANDA ,2013/8/6,F,584,645
